PURCH_ORDER,SUPPLIER_ORIGIN,CURRENCY
B0029074,UK,
B0029841,Germany,EUR
B0029843,Germany,EUR
B0029893,Germany,EUR
B0029947,UK,
B0029950,UK,
B0029953,UK,
B0029958,UK,
B0029959,UK,
B0029969,UK,
B0029970,UK,
B0029971,UK,
B0029973,UK,
B0029981,UK,
B0029982,UK,
B0029999,USA,USD
B0030000,USA,USD
B0030001,USA,USD
B0030071,Germany,EUR
B0029984,UK,
B0029987,UK,
B0030023,UK,
B0030033,UK,
B0030072,Germany,EUR
B0030075,UK,
B0030085,UK,
B0030087,UK,
B0030091,UK,
B0030096,UK,
B0030104,UK,
B0030106,UK,
B0030217,UK,
B0030245,UK,
B0030247,UK,
B0030692,Germany,EUR
B0030710,UK,
B0030721,UK,
B0030254,UK,
B0030255,UK,
B0030256,UK,
B0030260,UK,
B0030269,UK,
B0030271,UK,
B0030283,UK,
B0030284,UK,
B0030288,UK,
B0030291,UK,
B0030292,UK,
B0030293,UK,
B0030296,UK,
B0030298,UK,
B0030299,UK,
B0030336,UK,
B0030350,UK,
B0030352,UK,
B0030301,UK,
B0030302,UK,
B0030304,,
B0030305,,
B0030310,,
B0030313,,
B0030314,,
B0030315,,
B0030317,,
B0030318,,
B0030319,,
B0030322,,
B0030324,,
B0030325,,
B0030335,UK,
B0032085,UK,
B0032141,UK,
B0032408,UK,
B0030337,UK,
B0030338,UK,
B0030343,UK,
B0030345,UK,
B0030424,UK,
B0030425,UK,
B0030426,Germany,EUR
B0030427,Germany,EUR
B0030585,UK,
B0030587,UK,
B0030621,Germany,EUR
B0030726,UK,
B0030747,UK,
B0030749,,
B0032409,,
B0032470,,
B0037548,,
B0037549,,
B0030750,,
B0030751,,
B0030909,,
B0030910,,
B0030911,UK,
B0030926,UK,
B0031056,UK,
B0031057,Germany,EUR
B0031252,UK,
B0031253,UK,
B0031265,Germany,EUR
B0031330,USA,USD
B0031445,USA,USD
B0031464,UK,
B0031473,UK,
B0031479,UK,
B0031530,Germany,EUR
B0031679,Germany,EUR
B0031694,UK,
B0031563,UK,
B0031568,UK,
B0031570,UK,
B0031572,UK,
B0031589,UK,
B0031590,UK,
B0031610,UK,
B0031612,UK,
B0031613,UK,
B0031623,UK,
B0031635,UK,
B0031652,UK,
B0031669,UK,
B0031681,UK,
B0031920,USA,USD
B0031923,Germany,EUR
B0032024,UK,
B0031682,UK,
B0031872,UK,
B0031938,UK,
B0032047,UK,
B0032159,UK,
B0032160,UK,
B0032191,UK,
B0032214,UK,
B0032226,UK,
B0032241,Germany,EUR
B0032378,Germany,EUR
B0032379,Germany,EUR
B0032419,UK,
B0032430,UK,
B0037551,UK,
B0037552,UK,
B0037553,UK,
B0032614,,
B0032616,,
B0032684,,
B0032687,,
B0032723,UK,
B0032927,Germany,EUR
B0032928,Germany,EUR
B0032993,Germany,EUR
B0033006,Germany,EUR
B0033034,UK,
B0033035,UK,
B0033091,UK,
B0033092,UK,
B0033120,UK,
B0033139,UK,
B0033204,UK,
B0033209,UK,
B0033389,UK,
B0033721,Germany,EUR
B0033722,Germany,EUR
B0033325,UK,
B0033423,UK,
B0033597,UK,
B0033663,Germany,EUR
B0033664,Germany,EUR
B0033665,Germany,EUR
B0033666,Germany,EUR
B0033667,Germany,EUR
B0034074,UK,
B0034086,UK,
B0034087,UK,
B0034088,UK,
B0034089,UK,
B0034090,UK,
B0034092,UK,
B0034389,UK,
B0034454,UK,
B0035354,UK,
B0035682,UK,
B0035683,UK,
B0034497,USA,USD
B0034508,Germany,EUR
B0034537,UK,
B0034538,UK,
B0034559,UK,
B0034628,UK,
B0034629,UK,
B0034639,UK,
B0034650,UK,
B0034657,UK,
B0034683,UK,
B0034693,UK,
B0034815,Germany,EUR
B0034818,Germany,EUR
B0035093,Germany,EUR
B0035110,UK,
B0035289,UK,
B0035302,UK,
B0035353,UK,
B0035111,UK,
B0035329,Germany,EUR
B0035330,Germany,EUR
B0035331,Germany,EUR
B0035332,Germany,EUR
B0035350,UK,
B0035469,UK,
B0035470,UK,
B0035507,UK,
B0035742,UK,
B0035743,UK,
B0035744,UK,
B0035745,UK,
B0035746,UK,
B0037545,UK,
B0037546,UK,
B0037547,UK,
B0035747,UK,
B0035748,UK,
B0035749,UK,
B0035750,UK,
B0035751,UK,
B0035784,UK,
B0035785,UK,
B0035787,UK,
B0035944,USA,USD
B0035948,Germany,EUR
B0036005,USA,USD
B0036037,UK,
B0036240,UK,
B0036319,Germany,EUR
B0036366,Germany,EUR
B0036380,UK,
B0036526,UK,
B0036527,UK,
B0036528,UK,
B0036529,UK,
B0036416,Germany,EUR
B0036420,Germany,EUR
B0036530,UK,
B0036536,UK,
B0036604,Germany,EUR
B0036605,Germany,EUR
B0036606,Germany,EUR
B0036643,Germany,EUR
B0036648,UK,
B0036685,UK,
B0036699,USA,USD
B0036704,Germany,EUR
B0036705,Germany,EUR
B0036729,UK,
B0036731,UK,
B0036816,Germany,EUR
B0036833,UK,
B0037014,Germany,EUR
B0037104,UK,
B0037163,UK,
B0037164,UK,
B0037179,Australia,AUD
B0037187,UK,
B0037188,UK,
B0037319,UK,
B0037326,UK,
B0037360,Germany,EUR
B0037361,Germany,EUR
B0037363,Germany,EUR
B0037377,Germany,EUR
B0037385,UK,
B0037389,UK,
B0037395,UK,
B0037407,UK,
B0037408,UK,
B0037412,Germany,EUR
B0037532,Germany,EUR
B0037544,UK,
B0037554,UK,
B0037629,USA,USD
B0037630,USA,USD
B0037670,UK,
B0037704,Germany,EUR
B0037705,Germany,EUR
B0037759,Germany,EUR
B0037763,UK,
B0037765,UK,
B0037766,UK,
B0037767,UK,
B0037768,UK,
B0037769,UK,
B0037772,UK,
B0037945,UK,
B0038401,UK,
B0038416,UK,
B0038438,UK,
B0038184,Germany,EUR
B0038267,Germany,EUR
B0038311,Germany,EUR
B0038409,USA,USD
B0038439,UK,
B0038441,UK,
B0038442,UK,
B0038443,UK,
B0038481,UK,
B0038523,UK,
B0038536,UK,
B0038557,UK,
B0038589,UK,
B0038666,UK,
B0038668,UK,
B0038676,UK,
B0038677,UK,
B0039349,UK,
B0039350,UK,
B0038715,UK,
B0038725,UK,
B0038746,Germany,EUR
B0038782,UK,
B0038796,UK,
B0038797,UK,
B0038798,UK,
B0038799,UK,
B0038812,UK,
B0038813,UK,
B0038828,UK,
B0038829,UK,
B0038842,UK,
B0038874,UK,
B0038956,UK,
B0038958,UK,
B0039047,UK,
B0039222,UK,
B0039332,Germany,EUR
B0038959,UK,
B0038962,UK,
B0038963,UK,
B0038986,UK,
B0039153,UK,
B0039172,UK,
B0039227,UK,
B0039335,UK,
B0039354,UK,
B0039367,UK,
B0039370,UK,
B0039372,UK,
B0039373,UK,
B0039375,UK,
B0039376,UK,
B0039377,UK,
B0039378,UK,
B0039379,UK,
B0039381,UK,
B0039476,UK,
B0039493,Germany,EUR
B0039612,UK,
B0039613,UK,
B0039775,Germany,EUR
B0039776,Germany,EUR
B0039870,Germany,EUR
B0039913,UK,
B0039969,Germany,EUR
B0039971,Germany,EUR
B0040081,Germany,EUR
B0040082,Germany,EUR
B0040139,UK,
B0040140,UK,
B0040252,UK,
B0040319,UK,
B0040320,UK,
B0040350,USA,USD
B0040431,UK,
B0040441,UK,
B0040448,UK,
B0040462,UK,
B0040463,UK,
B0040464,UK,
B0040473,UK,
B0040496,Germany,EUR
B0040499,Germany,EUR
B0040500,UK,
B0040515,UK,
B0040556,UK,
B0040584,Germany,EUR
B0040586,Germany,EUR
B0040621,UK,
B0040622,UK,
B0040719,UK,
B0040731,UK,
B0040732,UK,
B0040763,UK,
B0040764,UK,
B0040765,UK,
B0040851,UK,
B0040852,UK,
B0040894,UK,
B0040895,UK,
B0040930,UK,
B0040931,UK,
B0040932,UK,
B0040990,Germany,EUR
B0041095,UK,
B0041098,Germany,EUR
B0041136,UK,
B0041138,UK,
B0041139,UK,
B0041146,UK,
B0041147,UK,
B0041200,UK,
B0041201,UK,
B0041478,UK,
B0041562,UK,
B0041269,UK,
B0041274,UK,
B0041275,UK,
B0041332,UK,
B0041428,UK,
B0041443,UK,
B0041500,UK,
B0041502,UK,
B0041505,UK,
B0041525,UK,
B0041571,UK,
B0041580,UK,
B0041658,Germany,EUR
B0041665,UK,
B0041678,UK,
B0042266,UK,
B0042350,UK,
B0042385,UK,
B0041687,UK,
B0041740,UK,
B0041741,UK,
B0041742,UK,
B0041743,UK,
B0041760,UK,
B0041761,UK,
B0041763,UK,
B0041764,UK,
B0041829,UK,
B0041870,Germany,EUR
B0041909,Germany,EUR
B0041922,UK,
B0041923,UK,
B0041929,UK,
B0041930,UK,
B0041931,UK,
B0041932,UK,
B0041933,UK,
B0041934,UK,
B0041968,UK,
B0041998,USA,USD
B0042001,Germany,EUR
B0042046,UK,
B0042048,UK,
B0042049,UK,
B0042050,UK,
B0042051,UK,
B0042052,UK,
B0042053,UK,
B0042054,UK,
B0042055,UK,
B0042068,UK,
B0042069,UK,
B0042109,UK,
B0042110,UK,
B0042121,UK,
B0042122,UK,
B0042263,UK,
B0042264,UK,
B0042265,UK,
B0042130,UK,
B0042131,UK,
B0042148,Germany,EUR
B0042229,UK,
B0042231,UK,
B0042367,UK,
B0042386,UK,
B0042391,UK,
B0042500,UK,
B0042578,UK,
B0042637,UK,
B0042648,UK,
B0042649,UK,
B0042650,UK,
B0042653,UK,
B0043126,UK,
B0043127,UK,
B0043132,UK,
B0042702,UK,
B0042703,UK,
B0042766,UK,
B0042767,UK,
B0042768,UK,
B0042769,UK,
B0042772,UK,
B0042773,UK,
B0042775,UK,
B0042776,UK,
B0042777,UK,
B0042789,UK,
B0042790,UK,
B0042805,UK,
B0042842,UK,
B0042843,UK,
B0042998,UK,
B0043047,UK,
B0043069,UK,
B0043106,Germany,EUR
B0043122,Germany,EUR
B0043133,UK,
B0043134,UK,
B0043135,UK,
B0043136,UK,
B0043161,UK,
B0043163,UK,
B0043200,UK,
B0043201,UK,
B0043202,UK,
B0043203,UK,
B0043204,UK,
B0043205,UK,
B0043206,UK,
B0043207,UK,
B0043208,UK,
B0043209,UK,
B0043220,UK,
B0043221,UK,
B0043222,UK,
B0043225,UK,
B0043210,UK,
B0043211,UK,
B0043212,UK,
B0043213,UK,
B0043214,UK,
B0043215,UK,
B0043236,UK,
B0043237,UK,
B0043333,UK,
B0043340,Germany,EUR
B0043344,UK,
B0043345,UK,
B0043365,USA,USD
B0043366,USA,USD
B0043427,UK,
B0043433,UK,
B0043795,UK,
B0043909,UK,
B0043910,UK,
B0043434,UK,
B0043449,Germany,EUR
B0043450,Germany,EUR
B0043453,UK,
B0043487,UK,
B0043527,UK,
B0043563,UK,
B0043567,UK,
B0043568,UK,
B0043569,UK,
B0043570,UK,
B0043571,UK,
B0043572,UK,
B0043573,UK,
B0043574,UK,
B0043640,UK,
B0043641,UK,
B0043696,Germany,EUR
B0043575,UK,
B0043576,UK,
B0043577,UK,
B0043578,UK,
B0043579,UK,
B0043580,UK,
B0043581,UK,
B0043582,UK,
B0043583,UK,
B0043584,UK,
B0043585,UK,
B0043586,UK,
B0043587,UK,
B0043588,UK,
B0043911,UK,
B0043913,UK,
B0043914,UK,
B0043609,UK,
B0043614,UK,
B0043687,UK,
B0043704,UK,
B0043751,UK,
B0043762,UK,
B0043784,UK,
B0043803,UK,
B0043804,UK,
B0043805,UK,
B0043806,UK,
B0043807,UK,
B0043808,UK,
B0043809,UK,
B0043825,Germany,EUR
B0043916,UK,
B0043917,UK,
B0043918,UK,
B0043826,Germany,EUR
B0043827,Germany,EUR
B0043832,UK,
B0043833,UK,
B0043834,UK,
B0043887,UK,
B0043888,UK,
B0043889,UK,
B0043890,UK,
B0043891,UK,
B0043894,UK,
B0043895,UK,
B0043896,UK,
B0043897,UK,
B0043898,UK,
B0043900,UK,
B0043902,UK,
B0043904,UK,
B0043905,UK,
B0043907,UK,
B0043908,UK,
B0043919,UK,
B0043920,UK,
B0043922,UK,
B0043923,UK,
B0043924,UK,
B0043925,UK,
B0043926,UK,
B0043928,UK,
B0043953,Germany,EUR
B0043970,UK,
B0043971,UK,
B0043995,Germany,EUR
B0044021,UK,
B0044022,UK,
B0044023,UK,
B0044028,UK,
B0044033,UK,
B0044035,UK,
B0044118,UK,
B0044160,Germany,EUR
B0044162,Germany,EUR
B0044043,UK,
B0044044,UK,
B0044047,UK,
B0044048,UK,
B0044051,UK,
B0044057,UK,
B0044067,UK,
B0044068,UK,
B0044091,UK,
B0044098,UK,
B0044111,UK,
B0044134,UK,
B0044155,UK,
B0044209,Germany,EUR
B0044607,UK,
B0044634,UK,
B0044635,UK,
B0044639,UK,
B0044223,Germany,EUR
B0044247,UK,
B0044252,UK,
B0044265,UK,
B0044266,UK,
B0044267,UK,
B0044282,UK,
B0044287,UK,
B0044297,UK,
B0044298,UK,
B0044354,UK,
B0044355,UK,
B0044382,UK,
B0044386,UK,
B0044387,UK,
B0044397,UK,
B0044411,UK,
B0044594,UK,
B0044595,UK,
B0044606,UK,
B0044414,UK,
B0044444,UK,
B0044445,UK,
B0044457,UK,
B0044482,Germany,EUR
B0044483,UK,
B0044484,UK,
B0044485,UK,
B0044486,UK,
B0044549,UK,
B0044550,UK,
B0044551,UK,
B0044552,UK,
B0044553,UK,
B0044554,UK,
B0044658,Germany,EUR
B0044659,Germany,EUR
B0044703,Germany,EUR
B0044556,UK,
B0044557,UK,
B0044558,UK,
B0044559,UK,
B0044560,UK,
B0044561,UK,
B0044562,UK,
B0044563,UK,
B0044564,UK,
B0044565,UK,
B0044567,UK,
B0044568,UK,
B0044569,UK,
B0044570,UK,
B0044571,UK,
B0044720,UK,
B0044721,UK,
B0044746,UK,
B0044572,UK,
B0044573,UK,
B0044574,UK,
B0044575,UK,
B0044576,UK,
B0044577,UK,
B0044578,UK,
B0044579,UK,
B0044584,UK,
B0044585,UK,
B0044586,UK,
B0044587,UK,
B0044588,UK,
B0044589,UK,
B0044747,UK,
B0044760,UK,
B0044761,UK,
B0044766,UK,
B0044596,UK,
B0044624,Germany,EUR
B0044644,Germany,EUR
B0044675,UK,
B0044698,UK,
B0044777,UK,
B0044778,Germany,EUR
B0044779,Germany,EUR
B0044783,UK,
B0044784,UK,
B0044829,UK,
B0044834,UK,
B0044911,UK,
B0044925,UK,
B0044939,Germany,EUR
B0044961,UK,
B0044962,UK,
B0044985,UK,
B0044986,UK,
B0044998,Germany,EUR
B0045007,Germany,EUR
B0045008,Germany,EUR
B0045050,USA,USD
B0045051,USA,USD
B0045056,UK,
B0045057,UK,
B0045058,UK,
B0045062,UK,
B0045063,UK,
B0045064,UK,
B0045065,UK,
B0045066,UK,
B0045067,UK,
B0045068,UK,
B0045069,UK,
B0045074,UK,
B0045075,UK,
B0045079,UK,
B0045084,UK,
B0045085,UK,
B0045087,UK,
B0045089,UK,
B0045090,UK,
B0045091,UK,
B0045092,UK,
B0045093,UK,
B0045094,UK,
B0045095,UK,
B0045096,UK,
B0045097,UK,
B0045099,UK,
B0045100,UK,
B0045102,UK,
B0045103,UK,
B0045104,UK,
B0045105,UK,
B0045106,UK,
B0045107,UK,
B0045110,UK,
B0045119,Germany,EUR
B0045120,Germany,EUR
B0045137,UK,
B0045138,UK,
