PURCH_ORDER,PART_NO,AREA,ORDER_TYPE,SUPPLIER,COST,CURRENCY,RAISED_DATE,CLOSED_DATE
B0029074,699209,A,B,R8S1A,0.0339,,11/26/02,11/30/10
B0029841,98AG-15052-BD,G,B,T43NA,0.1639,EUR,5/21/03,7/14/10
B0029843,XR83-13K705-BA,G,B,Q80QA,0.8514,EUR,5/21/03,7/14/10
B0029893,WCS000150,G,B,E491A,2.7273,EUR,5/22/03,7/14/11
B0029947,1X43-5K978-AA,G,B,R8S1A,0.342,,5/27/03,11/21/11
B0029950,FS105107P,G,B,R8S1A,0.0306,,5/27/03,11/21/11
B0029953,W500012-S301,G,B,R8S1A,0.0175,,5/27/03,8/19/15
B0029958,W500125-S301,G,B,R8S1A,0.0918,,5/27/03,11/21/11
B0029959,W504699-S309M,G,B,R8S1A,0.0165,,5/27/03,11/21/11
B0029969,W520201-S301,G,B,R8S1A,0.027,,5/27/03,11/21/11
B0029970,W520411-S301,G,B,R8S1A,0.0069,,5/27/03,11/21/11
B0029971,W520414-S301,G,B,R8S1A,0.0304,,5/27/03,11/21/11
B0029973,W525937-S300,G,B,R8S1A,0.1286,,5/27/03,11/30/10
B0029981,W702724-S301,G,B,R8S1A,0.0143,,5/27/03,11/21/11
B0029982,W702733-S900,G,B,R8S1A,0.0418,,5/27/03,11/21/11
B0029999,3M5T-7C534-AB,G,B,U3NFA,1.0173,USD,5/28/03,
B0030000,94BB-9C872-AC,G,B,U3NFA,0.763,USD,5/28/03,
B0030001,BN7N66490,G,B,U3NFA,1.1834,USD,5/28/03,9/23/11
B0030071,4G43-046B30-AB,G,B,DQ1DA,10.0668,EUR,6/2/03,1/20/12
B0029984,W705116-S300,G,B,R8S1A,0.0774,,5/27/03,11/21/11
B0029987,W706422-S427,G,B,R8S1A,0.0178,,5/27/03,11/24/10
B0030023,1X43-17K826-AA,G,B,R8S1A,0.0609,,6/2/03,11/30/10
B0030033,W701073-S301,G,B,R8S1A,0.0605,,6/2/03,11/21/11
B0030072,4G43-046B31-AB,G,B,DQ1DA,10.0668,EUR,6/2/03,1/20/12
B0030075,W520202-S437,G,B,R8S1A,0.0432,,6/2/03,11/24/10
B0030085,2W93-7B147-AC,G,B,Q33YA,0.55,,6/2/03,11/21/11
B0030087,694891,G,B,R8S1A,0.131,,6/2/03,11/30/10
B0030091,699733,G,B,R8S1A,0.0008,,6/2/03,11/30/10
B0030096,C27328/3Z,G,B,R8S1A,0.0168,,6/2/03,11/21/11
B0030104,JFY106041,G,B,R8S1A,0.0265,,6/2/03,11/21/11
B0030106,MJA4243AB,G,B,R8S1A,0.1818,,6/2/03,11/24/10
B0030217,98AG-14A169-AA,G,B,R8S1A,0.0105,,6/6/03,11/30/10
B0030245,W505510-S309,G,B,R8S1A,0.0049,,6/10/03,11/21/11
B0030247,W503511-S307,G,B,R8S1A,0.035,,6/10/03,11/30/10
B0030692,1X43-13N064-AG,G,B,C8B9C,21.3541,EUR,7/2/03,12/23/15
B0030710,1R12-372635-AA,G,B,MRLAA,0.075,,7/2/03,5/25/10
B0030721,W709470-S427,G,B,R8S1A,0.1592,,7/3/03,11/21/11
B0030254,WE112001,G,B,R8S1A,0.0048,,6/10/03,11/21/11
B0030255,WJ112001,G,B,R8S1A,0.0603,,6/10/03,11/21/11
B0030256,W520201-S427,G,B,R8S1A,0.0162,,6/10/03,11/21/11
B0030260,W707777-S300,G,B,R8S1A,0.015,,6/10/03,11/30/10
B0030269,692054,G,B,R8S1A,0.0004,,6/10/03,11/21/11
B0030271,W527206-S307,G,B,R8S1A,0.0695,,6/10/03,11/30/10
B0030283,1X43-5K751-AA,G,B,R8S1A,0.1151,,6/11/03,11/21/11
B0030284,2R83-4B423-AA,G,B,R8S1A,0.625,,6/11/03,11/21/11
B0030288,W500020-S301,G,B,R8S1A,0.0227,,6/11/03,11/21/11
B0030291,W500111-S301,G,B,R8S1A,0.044,,6/11/03,11/21/11
B0030292,W500128-S301,G,B,R8S1A,0.0966,,6/11/03,11/21/11
B0030293,W500204-S309,G,B,R8S1A,0.0095,,6/11/03,11/21/11
B0030296,W505575-S309,G,B,R8S1A,0.0116,,6/11/03,11/21/11
