PART_NO,car
2896,1
2896,2
2896,3
2896,5
2896,4
2896,4
699209,2
699209,3
699209,4
699545,2
699545,3
699545,3
699547,2
699547,4
699614,2
699614,3
699627,2
699627,3
699627,5
699628,3
8047,5
20125,5
691787,3
694891,2
694891,3
695326,2
695587,2
695587,3
696379,1
696379,3
696379,4
696640,2
696640,3
696640,4
699209,2
699209,3
699209,4
699545,2
699545,3
699547,2
699547,4
699614,2
699614,3
699627,2
699627,3
699627,5
699628,3
699632,2
699634,2
699634,3
699648,1
699684,4
699697,2
699697,4
699699,3
699711,2
699711,4
699733,1
699733,2
699733,5
699733,4
699736,2
700036,2
700384,2
700384,3
700414,2
700469,3
700469,4
700474,1
700481,4
700482,3
700771,1
700771,3
700771,5
700771,4
700772,1
700773,3
700774,5
700774,4
700776,1
700776,5
700776,4
700779,1
700779,2
700779,3
700779,5
700779,4
700784,1
701759,3
7300846,5
8614950,2
8625471,2
8637355,2
8637355,3
8637356,2
8637356,3
8637357,2
8637357,3
30634720,2
30634720,3
30634721,2
30634721,3
30634723,2
30634723,3
30634725,2
30634725,3
30649608,2
30649609,2
30657961,2
30657961,3
30657961,5
30657961,4
30669107,2
30669107,3
30710071,2
30710071,3
30710072,2
30710072,3
30710073,2
30710073,3
30732824,3
30737138,3
30737139,2
30737139,3
30765471,3
30772935,3
30772936,3
30775283,2
30775283,3
30775419,3
30782706,3
30795181,3
30798511,4
31210468,3
31215512,2
31215512,3
31215513,2
31215513,3
31253052,2
31253052,3
31254317,3
31254749,4
31260529,2
31260529,3
31260796,3
31264409,4
31264410,4
31268809,4
31268870,4
31285449,4
31327215,5
33180810,2
33180810,3
33488545,1
39979044,3
39979062,3
60980621,2
60980621,3
105297100,3
105547600,2
105547600,3
300297100,4
300547600,4
610207095,4
610207106,1
610207106,3
610207106,4
610209400,2
610260050,1
610260050,5
610260050,4
610260051,1
610260051,5
610260051,4
610260101,2
610260102,2
610260105,4
610260106,5
610260106,4
610260107,5
610260107,4
610260240,5
610260240,4
610260292,4
610260906,5
610260906,4
610261327,5
610261327,4
610261328,5
610261328,4
610261329,5
610261329,4
610602526,3
610602526,5
610739122,2
610739122,4
610739271,2
610739271,4
610806535,5
610807378,4
04000603AA,4
04000603AC,4
04000606AC,4
04000606AD,4
04004B03AA,4
04004B06AA,4
04004B06AC,4
04004B06AE,4
04009902AB,4
04009902-AB,4
04009903AA,4
04009906AC,4
04009906AD,4
106085-PIA,2
1F1E-6C315-AA,2
1F1E-6C315-AB,2
1F1E-6C315-AB,5
1L2A-12A648-AA,3
1L5E-6C315-AA,2
1L5E-6C315-AA,5
1N1A-12A699-AA,1
